,jawaban_mahasiswa,jawaban_dosen,human_rater,human_rater_scaled
184,"['turbo', 'boost', 'teknologi', 'otomatis', 'seuah', 'processor', 'cepat', 'jalan', 'clock', 'spesifikasi', 'jalan', 'program', 'aplikasi', 'single', 'threading', 'performa', 'multi', 'threading']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
205,"['turbo', 'boost', 'kondisi', 'mobil', 'turbo', 'mana', 'mobil', 'digaspol', 'tenaga', 'tambah', 'berkat', 'turbo', 'mobil', 'kencang', 'suka', 'turbo']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",10,0.1
81,"['hibernate', 'pc', 'proses', 'mana', 'pc', 'olah', 'mati', 'total', 'jalan', 'istirahat', 'warm', 'booting', 'user', 'tunggu', 'aktif', 'komputer', 'proses', 'aplikasi', 'buka', 'tutup', 'guna', 'aplikasi', 'langsung', 'muncul']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
111,"['komputer', 'aritmathic', 'logical', 'unit', 'control', 'unit', 'memory', 'simpan', 'data']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
168,"['turbo', 'boost', 'kuat', 'kerja', 'computer', 'performance', 'kualitas', 'dukung', 'processor', 'kerja', 'komputer', 'maksimal']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",80,0.8
194,"['turbo', 'boost', 'proses', 'cepat', 'frekuensi', 'komputer', 'processing', 'komputer', 'cepat', 'contoh', 'processor', 'milik', 'fsb', '3', '0', 'ghz', 'pacu', '4', '0', 'ghz', 'naik', 'tegang', 'turbo', 'boost', 'guna', 'cepat', 'proses', 'komputer']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
213,['cepat'],"['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",20,0.2
76,"['hibernate', 'kondisi', 'pc', 'mati', 'proses', 'hidup', 'butuh', 'singkat']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",60,0.6
216,"['turbo', 'boost', 'cepat', 'kerja', 'processor', 'milik', 'performa', 'optimal']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",80,0.8
93,"['hibernate', 'kondisi', 'mana', 'pc', 'operasi', 'mati', 'operasi', 'jalan', 'jeda', 'simpan', 'pc', 'nyala']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",60,0.6
167,"['turbo', 'boost', 'proses', 'tambah', 'kapasitas', 'memori', 'ram', 'device', 'tambah', 'flashdisk', 'memori', 'ram', 'penuh', 'data', 'masuk', 'ram', 'alih', 'device', 'tambah', 'proses', 'transfer', 'data', 'device', 'tambah', 'lambat', 'banding', 'langsung', 'ram']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",60,0.6
116,"['arsitektur', 'von', 'neumann', 'gambar', 'komputer', 'utama', 'unit', 'aritmatika', 'logis', 'alu', 'unit', 'kontrol', 'cpu', 'media', 'simpan', 'memory', 'alat', 'masuk', 'input', 'hasil', 'keluar', 'output', 'kolektif', 'nama', 'i', 'o', 'arsitektur', 'komputer', 'super', 'komputer', 'gabung', 'komputer', 'processor', 'simulasi', 'rumit']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
82,"['hibernate', 'salah', 'mode', 'aktif', 'komputer', 'mana', 'kondisi', 'hibernate', 'data', 'data', 'aktif', 'simpan', 'hard', 'disk', 'internal', 'daya', 'alir', 'komputer', 'jadi', 'off', 'hibernate', 'beda', 'mode', 'sleep', 'mana', 'mode', 'sleep', 'data', 'simpan', 'dalam', 'rom', 'komputer', 'kondisi', 'low', 'power', 'mode']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",100,1.0
66,"['hibernate', 'kondisi', 'mana', 'pc', 'aplikasi', 'jalan', 'hibernate', 'data', 'simpan', 'alir', 'listrik', 'pc', 'henti', 'data', 'langsung', 'hapus', 'sistem']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
165,"['turbo', 'boost', 'proses', 'komputer', 'komputer', 'keras', 'turbo', 'boost', 'aplikasi', 'intensitas', 'grafik']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
99,"['hibernate', 'salah', 'fitur', 'komputer', 'mana', 'fitur', 'gabung', 'shut', 'down', 'sleep', 'hibernate', 'mati', 'komputer', 'hilang', 'komputer', 'nyala', 'komputer', 'hibernate', 'komputer', 'otomatis', 'simpan', 'pc', 'file', 'aplikasi', 'jalan', 'hard', 'disk']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",70,0.7
162,"['komputer', 'model', 'von', 'neumann', 'komputer', 'generasi', 'memori', 'alu', 'input', 'output']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",80,0.8
152,"['von', 'neumann', 'architecture', 'is', 'based', 'on', 'the', 'stored', 'program', 'computer', 'concept', 'where', 'instruction', 'data', 'and', 'program', 'data', 'are', 'stored', 'in', 'the', 'same', 'memory', 'this', 'design', 'is', 'still', 'used', 'in', 'most', 'computers', 'produced', 'today']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",60,0.6
112,"['arsitektur', 'von', 'neumann', 'arsitektur', 'komputer', 'tempat', 'program', 'rom', 'read', 'only', 'memory', 'data', 'ram', 'random', 'access', 'memory', 'peta', 'memori', 'arsitektur', 'milik', 'address', 'data', 'bus', 'tunggal', 'alamat', 'program', 'data', 'arsitektur', 'von', 'neumann', 'mesin', 'von', 'neumann', 'arsitektur', 'cipta', 'john', 'von', 'neumann', '1903', '1957', 'komputer', 'arsitektur', 'buat', 'john', 'von', 'neumann', 'arsitektur', 'von', 'neumann', 'gambar', 'komputer', 'utama', 'unit', 'aritmatika', 'logis', 'alu', 'unit', 'kontrol', 'cu', 'memori', 'alat', 'masuk', 'i', 'o']","['komputer', 'model', 'von', 'neumann', 'model', 'arsitektur', 'deskripsi', 'john', 'von', 'neumann', '1945', 'first', 'draft', 'of', 'a', 'report', 'on', 'the', 'edvac', 'model', 'arsitektur', 'jadi', 'basis', 'komputer', 'unit', 'pemrosesan', 'isi', 'alu', 'register', 'prosesor', 'unit', 'kontrol', 'isi', 'instruction', 'register', 'program', 'counter', 'memori', 'simpan', 'data', 'instruksi', 'simpan', 'eksternal', 'mekanisme', 'input', 'output']",90,0.9
84,"['hibernate', 'beda', 'sleep', 'mana', 'sleep', 'kondisi', 'laptop', 'rendah', 'power', 'pc', 'simpan', 'data', 'data', 'word', 'excel', 'komputer', 'sleep', 'hibernate', 'kondisi', 'komputer', 'sleep', 'kondisi', 'rendah', 'power', 'pc', 'simpan', 'data', 'data', 'pc']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",50,0.5
1,"['fundamental', 'centralized', 'infrastructure']","['client', 'server', 'jaring', 'komputer', 'model', 'komunikasi', 'belah', 'sedia', 'layan', 'data', 'server', 'guna', 'minta', 'layan', 'data', 'client', 'belah', 'komunikasi', 'hardware', 'beda', 'mesin', 'sistem']",20,0.2
199,"['turbo', 'boost', 'lebih', 'milik', 'processor', 'quad', 'core', 'multi', 'core', 'turbo', 'boost', 'fungsi', 'cepat', 'pemrosesan', 'kirim', 'data', 'komputer', 'turbo', 'boost', 'mensetting', 'clock', 'maksimal', 'cepat', 'prosesor', 'dual', 'core', 'milik', 'turbo', 'boost']","['turbo', 'boost', 'salah', 'fitur', 'prosesor', 'tuju', 'cepat', 'kerja', 'prosesor', 'kondisi', 'penuh', 'proses', 'raih', 'naik', 'frekuensi', 'clock', 'sesuai', 'ruang', 'tingkat', 'rekomendasi', 'buat', 'chip', 'ruang', 'tingkat', 'thermal', 'headroom', 'milik', 'syarat', 'kondisi', 'gantung', 'temperatur', 'load', 'prosesor', 'temperatur', 'batas', 'kerja', 'prosesor', 'tingkat', 'frekuensi', 'clock', 'nya', 'instruksi', 'cepat', 'beban', 'kerja', 'temperatur', 'tingkat', 'jaga', 'stabilitas', 'kerja', 'prosesor', 'turbo', 'boost', 'maksimal', 'dekat', 'base', 'clock']",100,1.0
62,"['hibernate', 'mati', 'komputer', 'jangka', 'data', 'aktif', 'simpan', 'memori', 'power', 'cpu', 'mati', 'komputer', 'nyala', 'data', 'muncul', 'hibernate', 'supply', 'energy', 'listrik', 'henti', 'fungsi', 'hibernate', 'fungsi', 'sleep', 'hibernate', 'mati', 'power', 'aktivitas', 'komputer']","['hibernate', 'pc', 'fitur', 'mati', 'pc', 'sleep', 'fitur', 'tenaga', 'sleep', 'jaga', 'komputer', 'nyala', 'tenaga', 'hibernate', 'simpan', 'proses', 'jalan', 'secondary', 'memory', 'sleep', 'simpan', 'ram', 'komputer', 'alami', 'hilang', 'tenaga', 'komputer', 'nyala', 'ulang', 'beda', 'hibernate', 'lanjut', 'proses', 'mati', 'alami', 'hilang', 'tenaga', 'mati', 'kurang', 'hibernate', 'simpan', 'data', 'butuh', 'hibernate', 'storage', 'kurang', 'umur', 'ssd', 'cepat', 'proses', 'hidup', 'cepat', 'proses', 'sleep', 'baca', 'ram']",80,0.8
