,Clean_Text,Class
501,sejak saat itu nenek tidak pernah lagi mengeluarkan kata kata kasar dan selalu berlaku baik pada orang lain dan mereka berdua hidup bahagia selamanya,senang
423,jika begitu ayo kita sebarkan berita baik ini pada penduduk desa kata pak raje dengan bersemangat,senang
687,tapi o bia mokara menolak tangisnya semakin keras terus merengek meminta telur ikan,sedih
164,dengan tetap mengenakan pakaian kumal hingga tubuhnya berbau kleting kuning menuju desa dadapan,jijik
428,ia merasa bangga saat teman teman caadara menceritakan kehebatan anaknya,senang
267,tidak pernah ada penduduk desa penyak yang berani memasuki hutan,takut
546,pemuda itu kagum akan kejujuran kedua anak tersebut,senang
791,anak pipit sedih berada dalam kegelapan karena kera selalu mengatupkan mulutnya,sedih
829,pada saat itu tiba tiba datang ibu peri,terkejut
700,pada siang hari ketiga anaknya menunggu sang induk kembali kerumah namun yang di tunggu pun tidak datang,sedih
591,syukur anak pertamaku sudah lahir kata ayahnya dengan gembira,senang
38,raja pun sangat kesal karena tidak dapat berbuat apa apa,marah
698,gadis itu menangis memohon ampun kepada ibunya,sedih
822,ia langsung terkejut karena di dalamnya berisi intan permata dan berlian sangat banyak,terkejut
794,alangkah sedih hati anak itu melihat ayam kesayangannya mati,sedih
670,mendengar yang di katakan hewan hewan yang lain membuat sang ibu merasa sedih,sedih
818,tiba tiba seketika datuk buta muncul lagi di hadapan mereka,terkejut
80,sang ayah sangat marah mengetahui bahwa anaknya rohib tidak menyelesaikan belajarnya selama ini,marah
206,abrahah pun mendapatkan luka dan mereka keluar dari tempat itu dalam keadaan dagingnya terpisah satu persatu,jijik
145,pokoknya aku sebal melihat mukamu bentak putri,marah
139,karena si tumang tidak menurut sangkuriang marah dan membunuh si tumang,marah
118,raja dan ratu sedang naik pitam,marah
898,terjadilah sebuah peristiwa yang sangat mengagetkan joko kendil yang buruk rupa berubah menjadi seorang pangeran yang sangat tampan,terkejut
759,pandangannya begitu memilukan seolah olah hendak mengucapkan maaf dan selamat tinggal,sedih
392,ayah putri rosebud dan para pembesar istana tertawa melihat hidung pangeran andre,senang
357,timun mas tumbuh menjadi gadis yang baik budi dan cantik jelita mbok sirni amat menyayanginya sepenuh hati,senang
248,pertarungan tak terelakkan senjata kedua belah pihak saling beradu suasana sungguh mencekam,takut
442,penduduk desa bersukacita menghadiri acara itu,senang
217,mbok sirni ketakutan tubuhnya menggigil ia ingin berlari menghindari dari terkaman raksasa itu,takut
409,sejak saat itu keadaan di hutan kembali damai seperti dulu,senang
193,dalam perjalanan itu si lelaki tua hampir menginjak seekor tikus jantan besar,jijik
522,ia begitu terpesona melihat patung wanita cantik berpakaian indah tersebut,senang
350,ia sangat senang karena mendapatkan labu yang lebih besar dari bawang putih,senang
305,tolong tolong aku tersangkut ucap si gabus dengan rasa takut,takut
559,ia merasa bahagia berada di dekat seorang yang tampan dan gagah perkasa,senang
391,tuan pemilik androcles kagum mendengar cerita itu,senang
959,mendengar pertanyaan itu domia terkejut,terkejut
496,mereka membawa kain kain yang terindah manuella sangat gembira,senang
466,penduduk sangat gembira karena berhasil menemukan raja jambi yang sakti akhirnya kita mempunyai seorang raja yang sakti dan mampu memimpin negeri ini ujar salah satu penduduk girang,senang
371,suatu hari kabar yang sangat menyenangkan terdengar oleh sang raja istrinya kini sedang mengandung dan kemudian melahirkan,senang
593,dengan gembira dukun memasukkan isi salam itu ke dalam kantong bajunya,senang
788,putri endahwarni turun dari kereta dan langsung menangis memeluk anteh,sedih
558,datu awang sukma sangat mengagumi kecantikan putri bungsu,senang
872,sampailah mereka di sebuah rumah yang cukup besar dan mewah ketika mereka masuk sang kucing desa kaget dengan makanan di atas meja,terkejut
359,semakin hari mbok sirni semakin menyayangi timun mas,senang
11,ketika kucing itu bangun kucing itu sangat kesal telah dibangunkan dari tidurnya dia menggeram dan mencoba mengusir ayam,marah
539,anak lelaki itu berwajah cerah dan tersenyum lebar,senang
718,empat anaknya hanya bisa menatap kepulangan ibu mereka itu dengan tangis sedih,sedih
367,tidak terkirakan kebahagiaan raden inu kertapati setelah berhasil menemukan pujaan hatinya,senang
364,ketika rubah itu merasa aman dia berjalan dengan wajah terlihat gembira,senang
949,oh tiba tiba dia terlonjak kaget sebuah jeritan dan mahkluk yang sebesar tumpukan jerami dengan empat kaki yang panjang dan dua telinga yang panjang memiliki ekor panjang menendang nendang ke udara sambil memekik dan tertawa seperti anak yang nakal,terkejut
845,beberapa saat mengintip si nenek di kejutkan dengan pemandangan mengherankan yang terjadi didalam gubugnya,terkejut
828,setelah itu perlahan lahan tubuh malin kundang menjadi kaku hingga akhirnya menjadi batu,terkejut
254,timun mas ketakutan melihat kekuatan raksasa itu,takut
732,suzume hanya bisa menangis menahan sakit dan terbang jauh ke arah hutan,sedih
640,karena ia menjadi yatim piatu dan yang membuat ia sangat sedih,sedih
314,la tidak berani menolak karena takut akibatnya,takut
177,hingga suatu hari mananamakrdi diusir oleh saudara saudaranya karena bau kudisnya sudah tak tertahankan lagi,jijik
383,meskipun bajunya tidak terlihat namun raja sangat senang dan percaya diri,senang
42,tikus yang sedang makan kini kehilangan selara makannya segera dia mencakar kembali dan menggigit tikus pemarah itu mereka bergerumul berkelahi dengan sengitnya,marah
29,lebah jantan marah dan pergi tapi ia tidak berani melawan iebah pekerja dan hakim,marah
635,suri meninggal dunia hancur hati bujang kelana menyaksikan kekasih hatinya pergi selama lamanya,sedih
966,tumenggung terperanjat dan berteriak semua jadi kacau,terkejut
484,mendengar kabar tersebut raja dan permaisuri sangat bahagia,senang
461,serigala sangat senang mendapatkan mangsa yang lezat,senang
20,lama lama ibu katak kesal dan marah,marah
621,lutung kasarung sendiri terpesona,senang
716,si bidadari bungsu hanya bisa bersedih hati meratapi nasib malangnya,sedih
705,si gadis bungsu hanya bisa menangis sedih,sedih
68,namun kedua binatang terebut langsung bertengkar untuk memperebutkan rusa tersebut,marah
598,timun mas tumbuh menjadi gadis yang cantik kedua orang tuanya sangat bangga padanya,senang
186,ibunya berjalan di belakang membawa keranjang belanjaan berpakaian sangat dekil layaknya pembantu,jijik
67,serigala sangat marah karena ia ditipu oleh ayam,marah
128,mendengarnya puteri hijau menjadi marah ia segera mencari saudara saudaranya dan menghasut mereka,marah
258,semua binatang yang ada di sana hanya terdiam mereka sangat takut tidak ada satu orang pun yang berani menjawab,takut
524,jhi ge phu terpesona dengan pemandangan di depannya,senang
688,o bia moloku dan o bia mokara hanya dapat menangisi kepergian ibunya kedua anak itu menyesal telah membuat ibu mereka marah,sedih
50,apa yang kau lakukan setiap hari hanya menari kini setelah kau sadar akan kebutuhan hidupmu kau memintanya kepada kami enak sekali hidupmu itu kata sang semut sambil memasang wajah marah,marah
169,setelah sampai dirumah bawang merah dan ibunya segera mengusir bawang putih dari rumah,jijik
36,buaya kesal penyamarannya diketahui ya aku akan memakanmu kata buaya,marah
882,namun keajaiban terjadi dari balik api yang menjilat jilat muncullah seorang pria tampan berbadan mulus,terkejut
158,dengan kemarahan yang sangat hamzah mencari cari abu jahal lalu ia melihatnya sedang duduk duduk di tengah tengah kaumnya,marah
361,semangat bertarung ayam jago cindelaras sangat besar,senang
218,ba baiklah apa syaratnya tanya mbok sirni ragu ragu,takut
847,sampai suatu hari kabar bahwa putri seorang penggiling gandum dapat memintal jerami dan merubahnya menjadi emas terdengar sampai kerajaan,terkejut
260,serigala pun sangat terkejut ia pun melonjat dan langsung berlari ketakutan,takut
852,kelinci kaget mendengar jawaban itu,terkejut
105,putri bisu bangkit dari tempat duduknya dan dengan marah ia berteriak kalian semua bodoh orang sakti itulah yang paling berhak wanita itu berhutang nyawa padanya,marah
306,sang kera naik perahu dengan perasaan takut sekali,takut
358,mbok sirni bahagia bukan main tentu ia tidak akan pernah melepaskan timun mas kepada siapapun,senang
657,akhirnya juan dan raul saling peluk dan saling meminta maaf,sedih
880,kapal besar itu terombang ambing dan terbalik seluruh penumpang tewas seketika termasuk sang anak,terkejut
774,hatinya hancur lebur diusir oleh anak kandungnya sendiri,sedih
731,ibunya menangis tapi kemudian berkata tuhan akan menolongmu nak mati dan hidup manusia ada di tangan tuhan,sedih
505,putri termuda kemudian menceritakan semua kisahnya dan anak raja tersebut menjadi bertambah kagum akan kebaikan hati dan kesopanan tutur kata putri termuda,senang
385,rakyat hutan belantara sangat senang mendengar kabar tersebut kehidupan di dalam hutan belantara pun menjadi kembali tentram seperti semula,senang
987,entah berapa lama ia terbuai mimpi tiba tiba ia terbangun karena dikejutkan suara hiruk pikuk sayap sayap yang mengepak,terkejut
699,orangtua putri pukes sangat bersedih tetapi mereka harus melepas anaknya itu pergi,sedih
224,ratu pun sangat gelisah bagaimana caranya agar ia dapat mengetahui nama kurcaci tersebut,takut
214,malin kundang bersembunyi di ruang kecil yang tertutup tumpukan kayu,takut
126,tindakan drakula yang membantai tentara turki ottoman membuat sultan mehmed ii menyatakan perang kepada drakula,marah
262,raja yang sangat ketakutan segera berlari secepatnya keluar gua,takut
448,akhirnya mereka di karuniai seorang bayi laki laki bayi laki laki tersebut diberi nama samosir kehadiran samosir membuat mereka semakin bahagia,senang
768,sultan alam terpukul mendengar penderitaan rakyat dari kerajaan penyu beliau sangat sedih atas kejadian tersebut,sedih
924,amat terperanjat mereka mendapati keadaan desa penyak yang sepi tiada penghuni laksana desa penyak itu desa mati,terkejut
464,kuda akhirnya kembali ke rumah petani la hidup bahagia selamanya,senang
697,gadis durhaka itu hanya menangis dan menagis menyesali perbuatannya,sedih
7,dia sangat iri dengan permaisuri,marah
713,papuq mame dan papuq ki ne merasa sedih hidup sebagai tikus,sedih
170,namun mereka langsung mengusir itik abu abu agar segera pergi dari depan rumah tersebut,jijik
73,mendengar penolakan putri aji bedarah putih itu membuat raja cina menjadi amat murka,marah
301,cik awang gelisah karena tidak mungkin ada musang yang berjanggut,takut
445,ibu pulang hore teriak o bia moloku menyambut sang ibu sang ibu tersenyum kelelahan melihat tingkah anak anaknya,senang
499,dia sangat cantik dan diberi nama suzume kakek sangat menyayanginya,senang
491,mendengar permintaan tersebut pangeran suta sangat senang,senang
472,dengan hati senang pak inda lalu kembali ke rumahnya,senang
329,para putri dan wanita wanita bangsawan menjerit ketakutan,takut
336,aku merasakan ketakutan yang luar biasa,takut
725,keesokan harinya mereka mendatangi batu batangkup dan kembali menangis dan memohon agar emaknya di keluarkan kembali,sedih
270,warga desa penyak secara turun temurun memang tidak berani memasuki hutan angker itu,takut
663,buaya pun menyerah dan berjanji tidak akan mengincar monyet lagi,sedih
540,saya tida meminta apapun jawabnya saya senang bisa berbuat sesuatu untuk negara,senang
555,ah alangkah bahagianya kedua ikan ini mereka pastilah sepasang kekasih yang saling mencintai sebentar lagi akupun akan sebahagia mereka pikir putri sambil tersenyum kecil,senang
79,dengan kemarahannya yang sangat kerbau putih menyeruduk pohon tempat putri kesupuk berada,marah
19,mendengar jawaban sang ratu ia sangat marah dan kesal,marah
45,pemimpin desa marah besar pada maldonado yang lari tanpa sepengetahuan dirinya la menghukum maldonado sebagai pelajaran bagi yang lainnya agar tidak membantahnya,marah
120,huh hewan kecil itu membuatku terhina sungut obi kerbau tunggu saja balasanku geramnya,marah
612,dia senang mandi sepuas puasnya di tepian itu setelah selesai mencari makan dan kenyang perutnya,senang
753,tidak aku tidak mau tak seorang pun menyukaiku apa gunanya aku ada di sana sahut bulan sedih,sedih
17,akibat fitnah itu prabu kertamarta murka kepada candra kirana hingga mengusir anak bungsunya itu,marah
24,tapi dia merebut kueku kata juan membantah,marah
517,ketujuh gadis itu pulang dengan hati puas karena telah berhasil menjalankan rencananya,senang
622,ibunya sangat terluka mendengar ucapan putrinya,sedih
263,bulunya berwarna kuning keemasan dan kedua matanya terlihat menyala menyeramkan karena seramnya sang istri pun berlari menjauh,takut
553,bulan merasa senang lalu katanya kepada bintang bintang lihat teman teman mereka mengagumiku,senang
735,saya menangis karena bola emas saya tergelincir dan jatuh kedalam sumur,sedih
157,meskipun demikian ketika beliau keluar pada suatu hari menemui sahabat sahabatnya dan mendapati mereka mengutamakan para nabi dan mendahulukannya atas mereka maka beliau justru menampakkan kemarahan dan wajahnya berubah,marah
581,tentu saja si buta sangat gembira mendengar hal itu,senang
938,istri alibaba sangat terkejut melihat barang yang dibawa alibaba,terkejut
804,ia menangis karena tidak menemukan makanan yang dapat dimakannya,sedih
46,nelayan marah melihat tigran melepas ikan kecil itu kau bodoh sekali kau kubayar untuk menangkap ikan bukan untuk melepaskan ikan kau kupecat bentak sang nelayan,marah
610,benarkah oh paman akhirnya aku menemukan keluarga ibuku kata anteh dengan gembira,senang
919,sangat mengherankan batang bambu itu bisa di darat setelah dilemparkannya ke laut tadi,terkejut
474,kedua anak itu benar benar gembira mendapati diri mereka berada di ketinggian yang membuat keduanya dapat memandang daerah daerah yang luas,senang
384,dengan rasa bangga raja terus melambaikan tangan,senang
271,para perompak yang lain merasa takut,takut
37,sang bapak lama lama kesal oleh sikap menantu menantunya itu,marah
82,mengetahui hal itu kucing dan anjing menjadi kesal mereka pun marah besar sejak itulah anjing dan kucing memusuhi tikus,marah
429,bahkan penduduk desa mengadakan pesta untuk merayakan kemenangan caadara,senang
536,semua yang melihat wanita itu menjadi kagum dan terpana oleh kecantikannya,senang
840,raden putra sangat terkejut mendengar kokok ayam cindelaras yang aneh,terkejut
246,seekor ular yang melintas di dekatnya membuat mah bongsu sangat ketakutan,takut
785,hanya keenam putrinya tidak habis habisnya menyesali diri mereka,sedih
43,istrinya marah sekali atas kebodohan suaminya,marah
216,ia didatangi raksasa yang amat besar dan berwajah menyeramkan,takut
815,meskipun demikian beliau merasakan kesedihan yang mendalam melihat sikap kaumnya,sedih
877,dalam waktu singkat mah bongsu menjadi gadis kaya raya penduduk sekitar merasa heran dengan kekayaaan mah bongsu,terkejut
830,sangat mengejutkan ketika ande ande lumut mengetahui kedatangan kleting kuning ia bergegas menyambutnya,terkejut
580,si bungkuk merasa bahagia bersahabat dengan si buta,senang
397,sejak saat itu tukang kayu tidak pernah hidup kekurangan lagi,senang
261,mereka langsung memeluk sang ibu karena ketakutan,takut
693,namun matanya menitikkan air mata tanda bahwa ia amat menyesal,sedih
252,sang kucing mendekati sang kelalawar kini bukan seekor tikus yang berada di mulut sang kucing tetapi seekor burung dengan bulu bulunya yang keluar melihat hal itu sang kelalawar sangat takut,takut
196,dari setiap kata yang kamu ucapkan dari mulutmu akan keluar seekor ular atau seekor katak,jijik
238,saat ia hendak bangun singa itu telah berada di depannya androcles menutup wajahnya ketakutan,takut
802,aminah tampak menangis tersedu sedu,sedih
585,betapa senangnya hati emak si lancang saat mendengar kabar anaknya datang,senang
492,pangeran suta dan putri hidup sangat bahagia rakyat pun kembali aman damai dan makmur,senang
165,kepiting raksasa itu sebenarnya tidak mau menyeberangkan kleting kuning karena tubuh kleting kuning yang bau itu,jijik
444,o bia mokara tertawa gembira hatinya senang karena perutnya telah kenyang ia pun kembali bermain bersama kakaknya,senang
866,esoknya petani kaget menemukan kendi di perapian la membuka kendi itu dan isinya adalah uang perak yang banyak,terkejut
943,betapa terkejutnya mereka ternyata kotak itu penuh berisi uang emas perak dan perhiasan perhiasan yang sangat indah,terkejut
859,kaisar dan semua orang kagum oleh kecerdasan putra mahkota,terkejut
467,raja amat senang mendengar rencana ibunya,senang
708,ia bahkan menangis karena sudah sangat lapar,sedih
249,towjatuwa nyaris pingsan karena ketakutan aduh jika aku mati dimakan buaya ini bagaimana nasib istriku pikirnya dengan kalut,takut
922,yang mengherankan para perampok dan penjarah itu langsung menghilang setelah melakukan aksi jahat mereka,terkejut
793,sedih hatinya karena nyamuk yang amat disayanginya hilang,sedih
255,baiklah aku bersedia sahut mbok sarni menjawab walau hatinya takut melihat sosok raksasa yang besar dan seram,takut
740,jhi ge phu sangat sedih namun apa mau dikata semua sudah suratan takdir,sedih
978,tiba tiba dia membuat kaget dua pengikutnya itu dengan memegang kerah baju mereka,terkejut
973,pada saat lelaki itu tiba di dapur dia terkejut sekali karena ikan besar itu sudah tidak ada lagi,terkejut
644,cinderella lari ke kebun dan menangis,sedih
52,ia pun sangat iri melihat kecantikkan angsa angsa tersebut,marah
425,dan si penyumpit berhasil memimpin desa itu dengan arif dan bijaksana sehingga masyarakat hidup dalam kedamaian dan kebahagiaan,senang
313,mereka bingung dan takut barangkali datang serangan kedua,takut
112,pedagang yang merasa marah kemudian membawa keledainya tersebut kembali ke pasar,marah
534,pak kosim mendapat sekantung uang emas ia pulang ke rumahnya dengan amat gembira,senang
569,sudah barang tentu semua orang menyambut dengan gembira berita besar itu,senang
56,melihat tingkah laku si naga yang selalu menghambur hamburkan harta kerajaan maka si buaya pun marah,marah
54,malin kundang yang kesal dan marah segera mengajak istrinya naik ke kapal,marah
968,setibanya di rumah ia terkejut dan menjerit karena melihat suaminya telah berubah menjadi seekor naga,terkejut
317,anteh yang ketakutan berusaha melarikan diri,takut
27,dewa indra pun marah kau harus melepaskan dulu rohmu dari badanmu sebelum pergi ke surga kata dewa indra,marah
724,mbok minah merasa sangat sedih karena kejadian sebelumnya terulang kembali,sedih
797,ditambahkan bahwa guruminda tampak bermuram durja,sedih
414,di sebuah lautan yang dingin dan penuh dengan ikan ikan hiduplah sekelompok paus orca mereka hidup dengan damai tanpa ancaman dari apapun,senang
653,ratu memohon dan menangis agar kurcaci tersebut tidak membawa putrinya,sedih
747,kita harus menguburkannya dengan layak kata kapten dengan penuh duka,sedih
479,i manyambungi yang selalu tersenyum sambil menatap puang mosso dengan mata berkaca kaca,senang
422,kedatangan dempu awang sampai ke telinga ibunya ibu dempu sangat gembira,senang
493,waktu terus berjalan kehidupan keluarga jafar sidik terlihat rukun dan damai,senang
878,mang bongsu tercengang seketika ular tersebut berubah wujud menjadi seorang pemuda yang gagah dan tampan,terkejut
310,syarat yang aneh itu membuat si limbat ketakutan,takut
757,tinggal para dayang yang masih menangis keras mengerumuni seekor ular besar yang bergelung di atas batu besar,sedih
530,di sanalah mereka hidup bahagia selamanya,senang
500,kakek senang sekali bisa menemukan suzume,senang
733,teman temanku bilang wajahku terlalu tampan dan tidak cocok menjadi monster ia lalu menangis tersedu sedu,sedih
599,ayah dan ibu timun mas senang sekali melihat timun mas selamat,senang
619,dalam kegembiraannya purbasari tidak putus putusnya mengucapkan syukur kepada kahyangan yang telah mengasihinya,senang
273,aku akan melakukan itu lain kali bu jawab jack ketakutan,takut
754,putri menangis meratapi nasibnya yang malang,sedih
739,putri bisu yang juga mendengarkan cerita bulbul sangat kecewa karena mereka melupakan peran jadgji,sedih
965,ketika bumbung dibuka putri bungsu terkejut dan berteriak gembira ini selendangku seru putri bungsu,terkejut
386,akhirnya saudagar menikahkan anaknya dengan anak perempuan pandai besi sejak saat itu mereka hidup lebih bahagia,senang
515,gadis itu kemudian pulang ke rumahnya dengan kantongan yang penuh dengan uang akhirnya menikah dengan orang yang sangat kaya dan hidup bahagia setelahnya,senang
86,raja hasan sebenarnya sangat marah karena raja bayang dan pasukannya sudah membuat kekacauan,marah
215,yuyu kangkang menjerit jerit meminta tolong,takut
702,singa dan beruang sangat sedih,sedih
920,pak inda sangat terkejut karena letusan keras itu berasal dari rumahnya,terkejut
625,mereka berpegangan tangan dengan sedih karena sebentar lagi akan berpisah dengan adik bungsu mereka,sedih
374,ratu pun sangat senang mengetahui nama si kurcaci,senang
266,di desa penyak itu juga terdapat hutan yang terkenal angker,takut
33,burung hantu marah dan mengejar burung gagak,marah
446,dengan penuh kasih disusuinya anak bungsunya itu sambil menyusui ia bersenandung,senang
478,la pun kembali menjalankan tugasnya sebagai raja dengan perasaan tenang dan bahagia karena tidak ada lagi yang akan menggantikannya,senang
330,mereka tunggang langgang melarikan diri dan tidak berani muncul kembali,takut
820,tiba tiba suri berlari ke arah mereka tubuhnya penuh luka,terkejut
890,ayahnya yang kelelahan dan kelaparan sangat terkejut melihat rantang yang hanya berisi sisa sisa makanan,terkejut
277,ia takut anak yang dikandungnya itu seorang bayi laki laki lalu akan dibunuh lagi oleh suaminya,takut
257,tiga anjing kampung itu iari ketakutan saat melihat rombongan serigala,takut
918,sangatlah terkejut pak lnda saat mendapati batang bambu itu adalah batang bambu yang telah dua kali membuatnya tersandung,terkejut
888,towjatuwa tertegun kau bisa bicara apakah kau sejenis buaya sakti tanyanya,terkejut
751,tetapi kemudian ia kecewa sepanjang hari ia di sana tak seorang pun menyapanya,sedih
81,karena sangat marah dan kecewa raja memerintahkan pengawalnya untuk memberikan hukuman mati kepada anaknya sendiri,marah
234,la menceritakan tantangan singa mendengar itu semua binatang ketakutan dan tidak ada yang berani membantu burung unta,takut
507,upacara pernikahan safia dan pangeran selama hari malan akhirnya safia dan suaminya hidup bahagia selamanya,senang
87,raja bayang pun sangat marah dengan penolakkan raja hasan wajahnya pun berubah menjadi merah terbakar,marah
547,seluruh penduduk desa menyambut gembira,senang
627,dengan perasaan sedih kakak sulung dan kakak tengah meninggalkan si bungsu,sedih
989,ia amat terkejut melihat nyamuknya sedang dipatuk dan ditelan seekor ayam jantan,terkejut
574,sang kera sudah berada di atas pohon sawo dengan wajah berseri,senang
76,ibu mereka yang jengkel langsung menghardik mintalah makanan pada ayah kalian itu,marah
251,penduduk yang menyelenggarakan pesta rakyat berlari dengan panik sambil menjerit ketakutan,takut
94,ibunya memarahinya karena menganggap putri termuda tersebut terlalu lama kembali dari mengambil air,marah
419,dia mencium aroma yang sangat enak dan lezat hingga semangat makannya kini meningkat,senang
30,bangsa singa dan bangsa burung hendak mengeroyok bangsa kelelawar,marah
407,mereka hidup berdampingan dengan rukun dan damai,senang
543,di halaman istana bunga bunga mulai bermekaran dan burung burung berkicau riang pangeran terkesima melihat hal itu,senang
485,raja dan permaisuri sangat memanjakan rohib mereka membesarkan rohib dengan penuh kasih sayang,senang
763,namum bibinya sangat kasar kepadanya gadis amat sedih,sedih
533,hati pak kosim berbunga bunga karena ia sudah berhasil menyeselaikan tugas dari raja,senang
843,dalam waktu sekejap candra kirana yang cantik rupawan berubah wujud menjadi keong mas,terkejut
284,tikus jantan yang ketakutan terpaksa menuruti ajakan tulap si raksasa,takut
365,kuperhatikan dari tadi kau mengejeku aku mendengarnya dengan sangat baik rupanya kau sangat senang berada di atap sana,senang
487,rohib sangat senang dan berterima kasih kepada tikus dan mengira bahwa tikuslah yang paling berjasa dalam mencari mentiko bertuah,senang
5,ketika saudara tiri cinderella melihat pita dan manik manik lama mereka pada gaun cinderella mereka menjadi marah,marah
674,hancurlah hati kedua orangtua sang anak dengan berucuran air mata mereka meninggalkan kapal sang anak ibunya tak kuasa menahan sedih dan sekaligus amarahnya,sedih
809,muhammad bin abdillah kini menjadi sendiri dan ia dalam keadaan menangis,sedih
